level_id,size,primary_variables,auxiliary_variables,clauses,sat_calls,decisions,propagations,backtracks,deduction_steps,solver_runtime_ms,wall_runtime_ms,uniqueness,status
level_01,3,9,0,147,93,0,429,0,8,24.543300,26.476800,UNIQUE,SOLVED
level_02,3,9,0,75,87,3,357,0,8,35.817300,39.043100,UNIQUE,SOLVED
level_03,4,16,0,500,189,67,1647,9,15,1117.949400,1149.397800,UNIQUE,SOLVED
level_04,4,16,0,756,171,209,1521,30,15,5910.533000,6055.829100,UNIQUE,SOLVED
level_05,5,25,0,928,465,269,4435,18,24,15886.604400,16119.875700,UNIQUE,SOLVED
level_06,5,25,0,3124,291,565,3301,81,24,40886.471900,41530.668100,UNIQUE,SOLVED
